High,Low,Close,Volume,PP,R1,R2,R3,S1,S2,S3,CLASS
14.73,14.73,14.73,100,14.73,14.73,14.73,14.73,14.73,14.73,14.73,HOLD
14.79,14.79,14.79,695,14.79,14.79,14.79,14.79,14.79,14.79,14.79,SELL
14.75,14.75,14.75,100,14.75,14.75,14.75,14.75,14.75,14.75,14.75,HOLD
14.75,14.75,14.75,100,14.75,14.75,14.75,14.75,14.75,14.75,14.75,HOLD
14.8,14.8,14.8,100,14.8,14.8,14.8,14.8,14.8,14.8,14.8,BUY
14.8,14.8,14.8,947,14.8,14.8,14.8,14.8,14.8,14.8,14.8,BUY
14.77,14.77,14.77,100,14.77,14.77,14.77,14.77,14.77,14.77,14.77,BUY
14.74,14.74,14.74,200,14.74,14.74,14.74,14.74,14.74,14.74,14.74,SELL
14.77,14.77,14.77,100,14.77,14.77,14.77,14.77,14.77,14.77,14.77,SELL
14.77,14.77,14.77,100,14.77,14.77,14.77,14.77,14.77,14.77,14.77,HOLD
14.77,14.77,14.77,125,14.77,14.77,14.77,14.77,14.77,14.77,14.77,HOLD
14.77,14.77,14.77,100,14.77,14.77,14.77,14.77,14.77,14.77,14.77,HOLD
14.8,14.78,14.78,200,14.786666666667,14.793333333333,14.806666666667,14.813333333333,14.773333333333,14.766666666667,14.753333333333,SELL
14.8,14.8,14.8,200,14.8,14.8,14.8,14.8,14.8,14.8,14.8,HOLD
14.8,14.8,14.8,100,14.8,14.8,14.8,14.8,14.8,14.8,14.8,BUY
14.79,14.79,14.79,563,14.79,14.79,14.79,14.79,14.79,14.79,14.79,BUY
14.8,14.8,14.8,100,14.8,14.8,14.8,14.8,14.8,14.8,14.8,BUY
14.74,14.74,14.74,953,14.74,14.74,14.74,14.74,14.74,14.74,14.74,SELL
14.58,14.57,14.58,600,14.576666666667,14.583333333333,14.586666666667,14.593333333333,14.573333333333,14.566666666667,14.563333333333,HOLD
14.8,14.8,14.8,670,14.8,14.8,14.8,14.8,14.8,14.8,14.8,BUY
14.8,14.8,14.8,100,14.8,14.8,14.8,14.8,14.8,14.8,14.8,HOLD
14.83,14.83,14.83,100,14.83,14.83,14.83,14.83,14.83,14.83,14.83,HOLD
14.73,14.73,14.73,600,14.73,14.73,14.73,14.73,14.73,14.73,14.73,BUY
14.85,14.85,14.85,480,14.85,14.85,14.85,14.85,14.85,14.85,14.85,HOLD
14.85,14.85,14.85,430,14.85,14.85,14.85,14.85,14.85,14.85,14.85,SELL
14.85,14.85,14.85,326,14.85,14.85,14.85,14.85,14.85,14.85,14.85,BUY
14.83,14.83,14.83,100,14.83,14.83,14.83,14.83,14.83,14.83,14.83,BUY
14.85,14.85,14.85,300,14.85,14.85,14.85,14.85,14.85,14.85,14.85,HOLD
14.78,14.78,14.78,165,14.78,14.78,14.78,14.78,14.78,14.78,14.78,HOLD
14.78,14.76,14.76,341,14.766666666667,14.773333333333,14.786666666667,14.793333333333,14.753333333333,14.746666666667,14.733333333333,SELL
14.78,14.78,14.78,100,14.78,14.78,14.78,14.78,14.78,14.78,14.78,SELL
14.83,14.83,14.83,100,14.83,14.83,14.83,14.83,14.83,14.83,14.83,SELL
14.83,14.83,14.83,200,14.83,14.83,14.83,14.83,14.83,14.83,14.83,SELL
14.94,14.94,14.94,100,14.94,14.94,14.94,14.94,14.94,14.94,14.94,BUY
14.96,14.95,14.96,1406,14.956666666667,14.963333333333,14.966666666667,14.973333333333,14.953333333333,14.946666666667,14.943333333333,BUY
14.93,14.93,14.93,100,14.93,14.93,14.93,14.93,14.93,14.93,14.93,HOLD
14.91,14.91,14.91,100,14.91,14.91,14.91,14.91,14.91,14.91,14.91,SELL
14.91,14.9,14.9,300,14.903333333333,14.906666666667,14.913333333333,14.916666666667,14.896666666667,14.893333333333,14.886666666667,HOLD
14.9,14.9,14.9,200,14.9,14.9,14.9,14.9,14.9,14.9,14.9,SELL
14.9,14.9,14.9,182,14.9,14.9,14.9,14.9,14.9,14.9,14.9,BUY
14.87,14.87,14.87,100,14.87,14.87,14.87,14.87,14.87,14.87,14.87,SELL
14.88,14.88,14.88,700,14.88,14.88,14.88,14.88,14.88,14.88,14.88,HOLD
14.85,14.85,14.85,100,14.85,14.85,14.85,14.85,14.85,14.85,14.85,HOLD
14.87,14.87,14.87,100,14.87,14.87,14.87,14.87,14.87,14.87,14.87,HOLD
14.9,14.9,14.9,900,14.9,14.9,14.9,14.9,14.9,14.9,14.9,HOLD
14.89,14.89,14.89,400,14.89,14.89,14.89,14.89,14.89,14.89,14.89,BUY
14.89,14.89,14.89,100,14.89,14.89,14.89,14.89,14.89,14.89,14.89,BUY
14.89,14.89,14.89,1200,14.89,14.89,14.89,14.89,14.89,14.89,14.89,BUY
14.83,14.83,14.83,100,14.83,14.83,14.83,14.83,14.83,14.83,14.83,HOLD
14.91,14.91,14.91,200,14.91,14.91,14.91,14.91,14.91,14.91,14.91,HOLD
14.81,14.81,14.81,999,14.81,14.81,14.81,14.81,14.81,14.81,14.81,HOLD
14.95,14.95,14.95,100,14.95,14.95,14.95,14.95,14.95,14.95,14.95,SELL
14.95,14.95,14.95,100,14.95,14.95,14.95,14.95,14.95,14.95,14.95,BUY
14.93,14.93,14.93,700,14.93,14.93,14.93,14.93,14.93,14.93,14.93,BUY
14.93,14.93,14.93,1756,14.93,14.93,14.93,14.93,14.93,14.93,14.93,SELL
14.96,14.96,14.96,100,14.96,14.96,14.96,14.96,14.96,14.96,14.96,BUY
14.93,14.93,14.93,3300,14.93,14.93,14.93,14.93,14.93,14.93,14.93,HOLD
14.93,14.89,14.89,200,14.903333333333,14.916666666667,14.943333333333,14.956666666667,14.876666666667,14.863333333333,14.836666666667,HOLD
14.89,14.89,14.89,100,14.89,14.89,14.89,14.89,14.89,14.89,14.89,BUY
14.93,14.91,14.91,500,14.916666666667,14.923333333333,14.936666666667,14.943333333333,14.903333333333,14.896666666667,14.883333333333,SELL
14.74,14.74,14.74,100,14.74,14.74,14.74,14.74,14.74,14.74,14.74,HOLD
14.82,14.82,14.82,100,14.82,14.82,14.82,14.82,14.82,14.82,14.82,BUY
14.89,14.89,14.89,1600,14.89,14.89,14.89,14.89,14.89,14.89,14.89,SELL
